,TFIDF Cluster,jobSkill_x,jobSkill_y,title
92,94,"Information Technology, Marketing,Art/Creative, Advertising, Marketing,Marketing,Marketing, Public Relations, Writing/Editing,Marketing, Sales,Business Development, Sales,Marketing, Strategy/Planning, Sales,Marketing, Advertising,Design, Art/Creative, Information Technology,Marketing, Advertising, Public Relations,Marketing, Sales, Advertising,Writing/Editing, Project Management,Advertising, Marketing, Art/Creative,Information Technology, Product Management, Research,Marketing, Public Relations, Advertising,Marketing, Public Relations,Marketing, Advertising, Art/Creative",Social Perceptiveness,34
93,95,"Engineering, Information Technology,Information Technology,Finance, Sales,Sales, Business Development,Marketing,Project Management, Information Technology,Other,Research, Analyst, Information Technology,Marketing, Sales,Management, Manufacturing,Art/Creative, Design",,29
94,96,"Sales, Business Development",,5
95,97,"Marketing, Business Development, Strategy/Planning,Research, Analyst, Information Technology,Marketing, Sales, Advertising,Marketing, Sales,Sales,Project Management, Management, Business Development,Sales, Business Development,Marketing, Advertising, Project Management,Business Development, Product Management, Marketing,Marketing,Other,Advertising, Marketing, Project Management,Management,Sales, Marketing, Product Management,Marketing, Strategy/Planning, Art/Creative,Business Development, Sales,Finance, Sales,Analyst, Information Technology, Marketing,Marketing, Public Relations,Marketing, Information Technology, Product Management,Sales, Business Development, Marketing,Engineering, Information Technology,Marketing, Business Development,Marketing, Sales, Project Management,Art/Creative, Marketing, Writing/Editing,Marketing, Sales, Business Development,Art/Creative, Information Technology, Marketing,Information Technology, Marketing,Marketing, Public Relations, Strategy/Planning,Marketing, Product Management,Marketing, Information Technology, Strategy/Planning,General Business, Marketing,Public Relations, Marketing,Science, Marketing, Analyst,Strategy/Planning, Other,Information Technology,Marketing, Strategy/Planning,Information Technology, Project Management, Marketing,Marketing, Advertising,Marketing, Sales, Art/Creative,Management, Manufacturing,Marketing, Information Technology,Marketing, Sales, Public Relations,Finance, Marketing,Marketing, Project Management,Advertising, Marketing, Analyst,Marketing, Advertising, Strategy/Planning,Marketing, Public Relations, Product Management,Marketing, Art/Creative,Project Management, Customer Service, Marketing",,151
96,98,"Engineering, Information Technology,Information Technology,Information Technology, Engineering,Business Development,Information Technology, Finance,Other,Finance, Sales,Finance, Other,Sales,Analyst, Finance",,29
97,99,"Engineering, Information Technology",,13
98,100,"Engineering, Information Technology,Accounting/Auditing, Information Technology,Finance, Sales,Other,Customer Service, Other, General Business,Management, Manufacturing,Accounting/Auditing, Finance, Other,Finance, Accounting/Auditing,Information Technology,Sales, Business Development",,23
99,101,"Finance, Sales,Information Technology,Engineering, Information Technology,Education, Training,Customer Service, Information Technology",,7
100,102,"Information Technology,Sales, Business Development,Marketing, Sales,Accounting/Auditing, Finance,Finance, Sales,Research, Analyst, Information Technology",,10
101,103,"Engineering, Information Technology,Finance, Sales,Other,Management, Manufacturing,Marketing, Sales,Consulting, Information Technology, Sales,Business Development, Sales",,14
102,104,"Accounting/Auditing, Analyst, Finance,Accounting/Auditing, Finance, Information Technology,General Business, Marketing, Other,Business Development, General Business, Sales",,6
103,105,"Engineering, Information Technology",,13
